Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
diacetilo,diacetyl,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diacetoxiscirpenol,diacetoxyscirpenol,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diagnóstico,diagnosis,CDC,"FDA, CDC",,DX,Health,,,,,,,,,,,,,,,,,,
diagnóstico principal,primary diagnosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diálisis,dialysis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diálisis peritoneal,peritoneal dialysis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dializador,dialyzer,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diámetro/dimensión interna del ventrículo izquierdo (DIVI),left ventricular internal diameter/dimension ,NIH,NIH,,LVID,Health,,,,,,,,,,,,,,,,,,
diapositiva,slide,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
diazinón,diazinon,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dibenzofuranos policlorados,polychlorinated dibenzofurans,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dice,report,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
diclofenaco,diclofenac,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dicloro-difenil-tricloroetano,dichloro-diphenyl-trichloroethane,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dicloroetileno,dichloroethylene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diclorometano,dichloromethane,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diclorvos,dichlorvos,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dicrocoeliasis,dicrocoeliasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dicrotofos,dicrotophos,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dictamen final,final rule,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
dictamen final sobre las tarifas del usuario,final rule on user fees,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
dieldrina,dieldrin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Dientamoeba fragilis,Dientamoeba fragilis,CDC,CDC,,,Health,,,,This term should be in italics and upper-case D.,,,,,,,,,,,,,,
dietilcarbamazina,diethylcarbamazine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dietilditiofosfato,diethyldithiophosphate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dietilestilbestrol,diethylstilbestrol,CDC,"FDA, CDC",,DES,Health,,,,,,,,,,,,,,,,,,
dietilfosfato,diethylphosphate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
difenhidramina,diphenydramine,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
diferente de,different from,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dificultad de aprendizaje,learning disabilities,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dificultad para respirar,shortness of breath,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dificultades de aprendizaje,learning disabilities,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
difilobotriosis,diphyllobothriasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
difosfato de adenosina,adenosine diphosphate,NIH,NIH,ADP,ADP,Health,,,,,,,,,,,,,,,,,,
difundir,share,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
digestivo,gastrointestinal,"NIH,NIA","NIH, NIA",,GI,Health,,,,,,,,,,,,,,,,,,
dijeron (ver contexto),report,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dilución,dilution,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dilución en caldo,broth dilution,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dímero D,D-dimer,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dimetilditiofosfato,dimethyldithiophosphate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dimetilfosfato,dimethylphosphate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dimetiltiofosfato,dimethylthiophosphate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dimetoato,dimethoate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dinámico,aggressive,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dinea,shortness of breath,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dioctofimiasis,dioctophymiasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
directivas de cuidados avanzados,advanced care directive,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
director del programa de animales,Animal Program Director,NIH,NIH,ADP,ADP,Health,,,,,,,,,,,,,,,,,,
directrices,guidelines,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
Directrices de los CDC para el control de infecciones ambientales en establecimientos de atención médica,CDC Guidelines for Environmental Infection Control in Health-Care Facilities,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Directrices de los CDC para la desinfección y esterilización en establecimientos de atención médica,CDC Guideline for Disinfection and Sterilization in Healthcare Facilities,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Directrices de los CDC para la higiene de las manos en entornos de atención médica,CDC Guideline for Hand Hygiene in Health-Care Settings,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Directrices del presidente sobre el coronavirus para los Estados Unidos,The President’s Coronavirus Guidelines for America,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Directrices para el control de infecciones ambientales,Environmental Infection Control Guidelines,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dirofilariosis,dirofilariasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
discinesia,dyskinesia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
discriminación,discrimination,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
discutible,controversial,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
discutir,discuss,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
diseminación,extent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
diseminar,spread,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
diseñar,develop,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
diseño de investigación a ciego simple,single-blind research design,FDA,FDA,,,Health,Drug Development,,"Es un estudio en el que una de las partes, ya sea el investigador o el participante, desconoce qué medicación o intervención está recibiendo el participante; también se le llama estudio con enmascarado simple.",,,,,,,,,,,,,,,
diseño de investigación a doble ciego,double-blind research design,FDA,FDA,,,Health,Drug Development,,Es un estudio en el que ni el participante ni el investigador saben si el participante está en el grupo de tratamiento o en el grupo de control.,,,,,,,,,,,,,,,
disfunción,impairment,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
disfunción eréctil,erectile dysfunction,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
disfunción olfativa,olfactory dysfunction,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
disfuncional,non-functional,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
disfunciones sensoriales del olfato y del gusto,smell and taste sensory dysfunctions,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
disminución,impairment,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
disminución gradual,taper,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
disolución amortiguadora de lisis bacteriana,bacterial lysis buffer,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
disolución de hidróxido de sodio (NAOH),sodium hydroxide  solution,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dispensario,clinic,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dispepsia,heartburn,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dispersante,dispersant,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
displasia diastrófica,diastrophic dysplasia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
disposición adecuada,adequate provision,FDA,FDA,,,Health,Drug Advertising,,"An alternative way for drug companies to provide risk information about a drug in a broadcast ad. Drug companies generally must include all of a drug's risk information in a product claim ad. In print ads, they usually do this in the ""brief summary."" This brief summary would take many minutes to read or scroll down a TV screen. The law allows broadcast ads to include only the most important risk information if the ads tell viewers or listeners how to get the full FDA-approved prescribing information, which has all the drug's risks. To meet the ""adequate provision"" requirement, the broadcast ad must provide ways to find the drug's FDA-approved prescribing information.
Broadcast ads can meet the ""adequate provision"" requirement by giving a number of sources for finding a drug's prescribing information. These include:
A healthcare provider (for example, a doctor)
A toll-free telephone number
The current issue of a magazine that contains a print ad
A Web site address",,,,,,,,,,,,,,,
disposiciones,provisions,FDA,FDA,,,Health,Food Industry,,,,On legal context,,,,,,,,,,,,,
disposiciones generales,general provisions,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
dispositivo de acceso venoso,venous access device,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dispositivo de asistencia ventricular (DAV),ventricular assist device,NIH,NIH,,VAD,Health,,,,,,,,,,,,,,,,,,
dispositivo de asistencia ventricular izquierda,"left ventricular assist device,LVAD",CDC,CDC,DAVI,,"Health,Health",,,,,,,,,,,,,,,,,,
dispositivo para animales,animal device,FDA,FDA,,,Health,Veterinarian,,"a tool or piece of equipment for animals that serves a specific purpose. For example, a thermometer is an animal device used by a veterinarian to take an animal’s temperature.",,,,,,,,,,,,,,,
dispositivos auxiliares,assistive devices,FDA,FDA,,,,,,,,,,,,,,,,,,,,,
dispositovos o aparatos médicos,medical devices,FDA,FDA,,,,,,aparatos médicos,,,,,,,,,,,,,,,
dispostivo médico,medical devices,FDA,FDA,,,,,,aparatos médicos,,,,,,,,,,,,,,,
dispuesto,amenable,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
distanciamiento social,social distancing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
distimia,dysthymia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
distribución,allocation,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
distribuidor,distributor,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
distrito local,home district,FDA,FDA,,,Health,Food Industry,,distrito que realiza la operación o investigación,,,,,,,,,,,,,,,
distrofia miotónica congénita,congenital myotonic dystrophy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
distrofia muscular de Duchenne,Duchenne muscular dystrophy,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
distrofina,dystrophin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
disulfotón,disulfoton,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diuréticos del asa,loop diuretics,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
diversidad,range,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
"Diversidad, Equidad, Inclusión y Accesibilidad ","""Diversity, Equity, Inclusion, and Accessibility """,HRSA,HRSA,,DEIA,,,,,,,,,,,,,,,,,,,
dividir,share,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
División de Agentes y Toxinas Selectos,Division of Select Agents and Toxins,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"División de Anestesia, Analgesia y Productos Adictivos","""Division of Anesthesia, Analgesia and Addiction Products""",FDA,FDA,,,Health,Office Names,,,,"Question: Are we sure ""Addiction Products"" is refering to products that cause addiction and not products against addiction?",,,,,,,,,,,,,
División de Asuntos Públicos,Division of Public Affairs,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Ciencias de Laboratorio,Division of Laboratory Sciences,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Creación de Reglamentos para los Productos de Venta sin Receta Médica,Division of Nonprescription Regulation Development ,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Dermatología y Productos Dentales,Division of Dermatology and Dental Products ,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Desarrollo Humano y Discapacidades,Division of Human Development and Disability,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Desempeño y Manejo de Calidad,Division of Performance and Quality Management ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
División de Diabetes Aplicada,Division of Diabetes Translation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Diseminación de Información de Salud Pública,Division of Public Health Information Dissemination,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Dispositivos Oftalmológicos y Otorrinolaringólogos,"""Division of Ophthalmic, and Ear, Nose, and Throat Devices """,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Eliminación de la Tuberculosis,Division of Tuberculosis Elimination,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Enfermedades Bacterianas,Division of Bacterial Diseases,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Enfermedades Parasitarias y Malaria,Division of Parasitic Diseases and Malaria,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"División de Enfermedades Transmitidas por los Alimentos, el Agua y el Medioambiente","""Division of Foodborne, Waterborne, and Environmental Diseases""",CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Enfermedades Transmitidas por Vectores,Division of Vector Borne Diseases,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Enfermedades Virales,Division of Viral Diseases,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Estudios de la Salud,Division of Health Studies,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Gobernanza de Datos y Análisis Estratégico,Division of Data Governance and Strategic Analysis ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
División de Hepatitis Virales,"Division of Viral Hepatitis,Viral Hepatitis Division",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
"División de Imágenes, Diagnósticos y Confiabilidad del Software","""Division of Imaging, Diagnostics, and Software Reliability.""",FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Investigación Aplicada y Tecnología,Division of Applied Research and Technology,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Investigación Aplicada y Tecnología de NIOSH,NIOSH Division of Applied Research and Technology,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Investigaciones sobre Seguridad,Division of Safety Research,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de la Química de los Residuos,Division of Residue Chemistry,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Microbiología,Division of Microbiology,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Migración Global y Cuarentena,Division of Global Migration and Quarantine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"División de Nutrición, Actividad Física y Obesidad","""Division of Nutrition, Physical Activity, and Obesity""",CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Operaciones de Emergencia,Division of Emergency Operations,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Operaciones y Mantenimiento (DOM),Division of Operations and Maintenance ,NIH,NIH,,DOM,Health,,,,,,,,,,,,,,,,,,
División de Patología y Microorganismos Patógenos de Graves Consecuencias,Division of High-Consequence Pathogens and Pathology,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Prevención de la Violencia,Division of Violence Prevention,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Prevención de Lesiones Involuntarias,Division of Unintentional Injury Prevention,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Prevención y Control del Cáncer,Division of Cancer Prevention and Control,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Productos Antivirales,Division of Antiviral Products ,FDA,FDA,,,Health,Office Names,,,,"We may also want to also include the more accurate term ""antivírico"" as an alternative",,,,,,,,,,,,,
"División de Productos Bacterianos, Parasíticos y Alergénicos","""Division of Bacterial, Parasitic and Allergenic Products""",FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Productos de Gastroenterología y Defectos Congénitos,Division of Gastroenterology and Inborn Errors Products,FDA,FDA,,DGIEP,Health,Office Names,,,,,,,,,,,,,,,,,
División de Productos de Neurología,Division of Neurology Products ,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
"División de Productos Óseos, Reproductivos y Urológicos","""Division of Bone, Reproductive and Urologic Products """,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Productos para el Metabolismo y Endocrinos,Division of Metabolism and Endocrinology Products,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
"División de Productos Pulmonares, de Alergia y Reumatología","""Division of Pulmonary, Allergy and Rheumatology Products""",FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Programas de Suplementos Dietéticos,Division of Dietary Supplement Programs,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Promoción de la Calidad de la Atención Médica,Division of Healthcare Quality Promotion,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Protección Ambiental (DEP),Division of Environmental Protection ,NIH,NIH,,DEP,Health,,,,,,,,,,,,,,,,,,
División de Protección de la Salud Global,Division of Global Health Protection,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Recursos Científicos,Division of Scientific Resources,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Riesgos Ambientales y Efectos en la Salud,Division of Environmental Hazards and Health Effects,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Salud de la Población,Division of Population Health,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Salud del Adulto y la Comunidad,Division of Adult and Community Health,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Salud Oral,Division of Oral Health,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Salud Pediátrica y Maternal,Division of Pediatric and Maternal Health,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Salud Reproductiva,Division of Reproductive Health,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Salud y Seguridad Ocupacionales (DOHS),Division of Occupational Health and Safety ,NIH,NIH,,DOHS,Health,,,,,,,,,,,,,,,,,,
División de Seguridad de Productos Veterinarios,Division of Veterinary Product Safety,FDA,FDA,,DVPS,Health,Office Names,,,,,,,,,,,,,,,,,
División de Servicios de Comunicación,Division of Communication Services,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Servicios de Emergencia y Salud Ambiental,Division of Emergency and Environmental Health Services,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Sistemas de Laboratorio,Division of Laboratory Systems,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"División de Supervisión, Informes y Cumplimiento Normativo ","""Division of Oversight, Reporting and Regulatory Compliance """,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
División de Terapia Celular y Tisular,Cellular and Tissue Therapy Branch,FDA,FDA,,,Health,Office Names,,,,,,,,,,,,,,,,,
División de Toxicología y Medicina Ambiental,Division of Toxicology and Environmental Medicine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Trastornos Congénitos y del Desarrollo,Division of Congenital and Developmental Disorders,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División de Trastornos Hematológicos,Division of Blood Disorders,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"División de Vigilancia, Evaluación de Riesgos y Estudios de Campo de NIOSH","""NIOSH Division of Surveillance, Hazard Evaluations, and Field Studies""",CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"División de Vigiliancia, Evaluación de Riesgos y Estudios de Campo","""Division of Surveillance, Hazard Evaluation, and Field Studies""",CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
División para la Prevención de Enfermedades Cardiacas y Accidentes Cerebrovasculares,Division for Heart Disease and Stroke Prevention,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Divisiones de Iniciativas Estratégicas,Divisions of Strategic Initiatives ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
doble ciego,double blinded,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
documento de consentimiento,consent form,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
docusato,docusate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
dolencia,condition,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
dolor,distress,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor a la palpación,tender pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor agudo,sharp pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor apremiante,pressing pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor constrictivo,tight pain,"NIH,NIA","NIH, NIA",,,Health,,,"Real Academia Nacional de Medicina - Diccionario de terminos medicos:
constrictivo-a
1 De la constriccion o relacionado con ella
2. ingl. constrictive, constricting. Que constriñe o es capaz de constreñir. Sin. constrictor. Obs: la preferencia por ""constricto"" o ""constrictor"" depende del contexto

International Medical Interpreters Association (IMIA) https://www.imiaweb.org/uploads/docs/Pain_Description_Glossary_Spanish.pdf 
Constricting: Apretado, como una opresión, constrictivo",,"Google incognito search:
dolor constrictivo: About 376,000 results
dolor opresivo: About 263,000 results 
M+= dolor opresivo, presión fuerte o dolor constrictivo",,,dull pain,Primary,,,,,,,,,
dolor corrosivo,gnawing pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor fulgurante,shooting pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor intenso,sharp pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor leve pero constante,dull pain,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
dolor leve y constante,dull pain,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
dolor opresivo,crushing pain,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
dolor poco intenso,aching pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor pulsátil,pounding pain,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
dolor punzante,stabbing pain,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
